TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
irisdeltaj.simplerelationaladdressbook.br.unb.cic.iris.command.console.AddressBookConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6755769230769231,152,108
irisdeltaj.simplerelationaladdressbook.br.unb.cic.iris.core.model.AddressBookEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,58,58
irisdeltaj.simplerelationaltag.br.unb.cic.iris.command.console.TagConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6299064248759371,160,95
irisdeltaj.simplerelationaltag.br.unb.cic.iris.core.model.Tag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9895833333333334,67,66
irisdeltaj.simplerelationaltag.br.unb.cic.iris.core.TagManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6546160130718954,85,59
irisdeltaj.simplerelationalsearch.br.unb.cic.iris.command.console.ConsoleSearchCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.834551282051282,67,62
irisdeltaj.simpleluceneaddressbook.br.unb.cic.iris.command.console.AddressBookConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6755769230769231,152,108
irisdeltaj.simpleluceneaddressbook.br.unb.cic.iris.core.model.AddressBookEntry,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,58,58
irisdeltaj.simplelucenetag.br.unb.cic.iris.command.console.TagConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6299064248759371,160,95
irisdeltaj.simplelucenetag.br.unb.cic.iris.core.model.Tag,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9895833333333334,67,66
